Date,HIGH,LOW,OPEN,CLOSE,VOLUME,COUNT,series
1986-04-07,14.4,13.2,13.55,14.33,16308,,oil
1986-04-08,13.85,12.4,13.78,12.47,15073,,oil
1986-04-09,13.4,12.2,12.28,13.0,10932,,oil
1986-04-10,13.7,13.35,13.4,13.48,7769,,oil
1986-04-11,14.15,13.4,13.55,13.61,11728,,oil
1986-04-14,13.8,12.95,13.33,12.97,5774,,oil
1986-04-15,13.25,12.65,13.13,12.7,6062,,oil
1986-04-16,12.25,11.4,11.9,11.43,10611,,oil
1986-04-17,11.9,11.25,11.3,11.83,8774,,oil
1986-04-18,12.25,11.75,12.25,11.92,7304,,oil
1986-04-21,12.62,11.7,11.7,12.57,9417,,oil
1986-04-22,13.5,12.75,12.75,13.2,9353,,oil
1986-04-23,13.48,12.7,12.8,13.21,18327,,oil
1986-04-24,13.92,12.8,13.45,12.98,19152,,oil
1986-04-25,13.55,12.5,12.54,13.39,11931,,oil
1986-04-28,13.95,13.25,13.8,13.36,13651,,oil
1986-04-29,13.65,13.08,13.65,13.51,10370,,oil
1986-04-30,13.8,13.3,13.45,13.34,11341,,oil
1986-05-01,13.9,13.5,13.5,13.81,13119,,oil
1986-05-02,14.95,14.1,14.29,14.73,20012,,oil
1986-05-05,14.85,14.12,14.75,14.33,14005,,oil
1986-05-06,14.52,14.11,14.4,14.32,11011,,oil
1986-05-07,15.34,14.8,14.85,15.21,15003,,oil
1986-05-08,15.78,14.96,15.1,15.74,13395,,oil
1986-05-09,15.9,15.45,15.55,15.86,9727,,oil
1986-05-12,16.13,15.6,15.8,15.77,10963,,oil
1986-05-13,15.95,15.18,15.3,15.89,11204,,oil
1986-05-14,16.0,15.4,15.8,15.51,13043,,oil
1986-05-15,15.72,15.38,15.5,15.68,7841,,oil
1986-05-16,16.2,15.62,15.66,16.16,7218,,oil
1986-05-19,17.2,16.4,16.45,17.16,14444,,oil
1986-05-20,17.1,16.0,16.9,16.04,13536,,oil
1986-05-21,15.9,14.75,15.8,14.82,22010,,oil
1986-05-22,15.2,14.5,14.57,15.16,15480,,oil
1986-05-23,15.7,14.93,15.23,15.59,8938,,oil
1986-05-27,15.47,15.05,15.4,15.1,10678,,oil
1986-05-28,15.1,14.6,14.8,14.83,14794,,oil
1986-05-29,14.68,14.15,14.43,14.54,16779,,oil
1986-05-30,14.8,14.21,14.64,14.3,10191,,oil
1986-06-02,14.05,13.73,13.98,13.81,15416,,oil
1986-06-03,14.1,13.75,13.88,13.87,9268,,oil
1986-06-04,13.25,12.75,12.96,13.1,16480,,oil
1986-06-05,13.53,12.85,13.18,13.23,13650,,oil
1986-06-06,13.18,12.73,13.14,12.76,11104,,oil
1986-06-09,12.85,12.5,12.6,12.63,7562,,oil
1986-06-10,12.9,12.5,12.76,12.56,9933,,oil
1986-06-11,13.59,12.65,12.7,13.49,10481,,oil
1986-06-12,13.8,13.29,13.5,13.66,11072,,oil
1986-06-13,13.97,13.35,13.42,13.81,9345,,oil
1986-06-16,14.02,13.6,13.85,13.66,9141,,oil
1986-06-17,13.78,13.53,13.69,13.74,7678,,oil
1986-06-18,13.78,13.5,13.72,13.65,8720,,oil
1986-06-19,13.82,13.51,13.62,13.76,8790,,oil
1986-06-20,14.9,13.38,13.7,14.69,10701,,oil
1986-06-23,13.2,12.85,12.9,13.0,12350,,oil
1986-06-24,12.95,12.82,12.93,12.88,6377,,oil
1986-06-25,13.52,12.82,12.84,13.26,17958,,oil
1986-06-26,13.63,13.05,13.51,13.14,9990,,oil
1986-06-27,13.55,13.14,13.16,13.4,8783,,oil
1986-06-30,13.0,12.7,12.8,12.78,12574,,oil
1986-07-01,12.6,12.31,12.53,12.38,14346,,oil
1986-07-02,12.47,11.96,12.44,11.99,12165,,oil
1986-07-07,11.5,11.1,11.38,11.19,10052,,oil
1986-07-08,11.35,10.97,11.2,11.22,13011,,oil
1986-07-09,11.25,10.75,11.12,10.77,12070,,oil
1986-07-10,11.39,10.95,11.0,11.25,10649,,oil
1986-07-11,11.3,10.93,11.28,11.13,9779,,oil
